Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
Excision of Lipoma;General Surgery & Gastrointestinal;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Excision of Sebaceous Cyst;General Surgery & Gastrointestinal;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Excision of Pilonidal Cyst;General Surgery & Gastrointestinal;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Pilonidal Sinus Flap Repair (Karydakis / Limberg);General Surgery & Gastrointestinal;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Bascom Cleft Lift Procedure;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Hemorrhoidectomy (Milligan-Morgan);General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Hemorrhoidectomy (Ferguson);General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Stapled Hemorrhoidopexy (PPH);General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Rubber Band Ligation of Hemorrhoids;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Transanal Hemorrhoidal Dearterialization (THD);General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Anal Fistulotomy;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Anal Fistulectomy;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Ligation of Intersphincteric Fistula Tract (LIFT);General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Endorectal Advancement Flap;General Surgery & Gastrointestinal;"Ureteral inadvertent transection or thermal injury ; Presacral venous plexus hemorrhage ; Inadvertent small bowel or bladder perforation";"Anastomotic leak / pelvic sepsis / peritonitis ; Pelvic abscess or wound infection ; Paralytic ileus or stoma ischemia/necrosis ; Deep vein thrombosis (DVT) / pulmonary embolism (PE)";"Chronic stoma complications (prolapse, retraction, parastomal hernia) ; Pelvic nerve dysfunction (erectile dysfunction, retrograde ejaculation, urinary retention) ; Adhesive small bowel obstruction ; Incisional hernia"
Seton Placement (Anal Fistula);General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Anal Fissurectomy;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Lateral Internal Sphincterotomy;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Perianal Abscess Drainage;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Hidradenitis Suppurativa Excision;General Surgery & Gastrointestinal;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Debridement of Necrotizing Fasciitis;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Sistrunk Procedure (Thyroglossal Duct Cyst);General Surgery & Gastrointestinal;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Branchial Cleft Cyst Excision;General Surgery & Gastrointestinal;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Axillary Lymph Node Dissection;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Sentinel Lymph Node Biopsy (Breast/Skin);General Surgery & Gastrointestinal;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Inguinal Lymphadenectomy;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Retroperitoneal Lymph Node Dissection (RPLND);General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Percutaneous Coronary Intervention (PCI) with Drug-Eluting Stent;Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Diagnostic Coronary Angiography;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Right Heart Catheterization;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Left Heart Catheterization;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Transcatheter Aortic Valve Implantation (TAVI / TAVR);Interventional Radiology & Cardiology;"Aortic dissection or annular rupture ; Vascular access site laceration or retroperitoneal hemorrhage ; Cardiac tamponade / pericardial effusion ; Complete heart block requiring emergency pacing ; Cerebrovascular accident / embolic stroke";"Postoperative atrial fibrillation or ventricular arrhythmias ; Sternal wound infection or mediastinitis ; Acute kidney injury (contrast or cardiopulmonary bypass induced) ; Low cardiac output syndrome";"Prosthetic valve degeneration or bioprosthetic failure ; Chronic paravalvular leak ; Infective endocarditis ; Long-term anticoagulation-related bleeding / thromboembolism"
Transcatheter Mitral Valve Repair (MitraClip);Interventional Radiology & Cardiology;"Aortic dissection or annular rupture ; Vascular access site laceration or retroperitoneal hemorrhage ; Cardiac tamponade / pericardial effusion ; Complete heart block requiring emergency pacing ; Cerebrovascular accident / embolic stroke";"Postoperative atrial fibrillation or ventricular arrhythmias ; Sternal wound infection or mediastinitis ; Acute kidney injury (contrast or cardiopulmonary bypass induced) ; Low cardiac output syndrome";"Prosthetic valve degeneration or bioprosthetic failure ; Chronic paravalvular leak ; Infective endocarditis ; Long-term anticoagulation-related bleeding / thromboembolism"
Transcatheter Tricuspid Valve Repair (Pascal System / TriClip);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Percutaneous Transvenous Mitral Commissurotomy (PTMC);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Left Atrial Appendage Occlusion (Watchman Device);Interventional Radiology & Cardiology;"Aortic dissection or annular rupture ; Vascular access site laceration or retroperitoneal hemorrhage ; Cardiac tamponade / pericardial effusion ; Complete heart block requiring emergency pacing ; Cerebrovascular accident / embolic stroke";"Postoperative atrial fibrillation or ventricular arrhythmias ; Sternal wound infection or mediastinitis ; Acute kidney injury (contrast or cardiopulmonary bypass induced) ; Low cardiac output syndrome";"Prosthetic valve degeneration or bioprosthetic failure ; Chronic paravalvular leak ; Infective endocarditis ; Long-term anticoagulation-related bleeding / thromboembolism"
Percutaneous Transluminal Coronary Angioplasty (PTCA);Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Coronary Intravascular Lithotripsy (IVL);Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Coronary Rotational Atherectomy;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Coronary Orbital Atherectomy;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Intravascular Ultrasound (IVUS) Guided Angioplasty;Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Fractional Flow Reserve (FFR) Measurement;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Instantaneous Wave-Free Ratio (iFR) Measurement;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Percutaneous Closure of Patent Foramen Ovale (PFO);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Percutaneous Closure of Atrial Septal Defect (ASD);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Percutaneous Closure of Ventricular Septal Defect (VSD);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Percutaneous Closure of Patent Ductus Arteriosus (PDA);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Radiofrequency Catheter Ablation of Atrial Fibrillation;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Cryoballoon Ablation of Atrial Fibrillation;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Radiofrequency Ablation of Atrial Flutter;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Radiofrequency Ablation of AVNRT;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Catheter Ablation of Ventricular Tachycardia;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Implantation of Dual-Chamber Permanent Pacemaker;Interventional Radiology & Cardiology;"Aortic dissection or annular rupture ; Vascular access site laceration or retroperitoneal hemorrhage ; Cardiac tamponade / pericardial effusion ; Complete heart block requiring emergency pacing ; Cerebrovascular accident / embolic stroke";"Postoperative atrial fibrillation or ventricular arrhythmias ; Sternal wound infection or mediastinitis ; Acute kidney injury (contrast or cardiopulmonary bypass induced) ; Low cardiac output syndrome";"Prosthetic valve degeneration or bioprosthetic failure ; Chronic paravalvular leak ; Infective endocarditis ; Long-term anticoagulation-related bleeding / thromboembolism"
Implantation of Single-Chamber Permanent Pacemaker;Interventional Radiology & Cardiology;"Aortic dissection or annular rupture ; Vascular access site laceration or retroperitoneal hemorrhage ; Cardiac tamponade / pericardial effusion ; Complete heart block requiring emergency pacing ; Cerebrovascular accident / embolic stroke";"Postoperative atrial fibrillation or ventricular arrhythmias ; Sternal wound infection or mediastinitis ; Acute kidney injury (contrast or cardiopulmonary bypass induced) ; Low cardiac output syndrome";"Prosthetic valve degeneration or bioprosthetic failure ; Chronic paravalvular leak ; Infective endocarditis ; Long-term anticoagulation-related bleeding / thromboembolism"
Leadless Pacemaker Implantation (Micra);Interventional Radiology & Cardiology;"Aortic dissection or annular rupture ; Vascular access site laceration or retroperitoneal hemorrhage ; Cardiac tamponade / pericardial effusion ; Complete heart block requiring emergency pacing ; Cerebrovascular accident / embolic stroke";"Postoperative atrial fibrillation or ventricular arrhythmias ; Sternal wound infection or mediastinitis ; Acute kidney injury (contrast or cardiopulmonary bypass induced) ; Low cardiac output syndrome";"Prosthetic valve degeneration or bioprosthetic failure ; Chronic paravalvular leak ; Infective endocarditis ; Long-term anticoagulation-related bleeding / thromboembolism"
Implantation of Implantable Cardioverter-Defibrillator (ICD);Interventional Radiology & Cardiology;"Aortic dissection or annular rupture ; Vascular access site laceration or retroperitoneal hemorrhage ; Cardiac tamponade / pericardial effusion ; Complete heart block requiring emergency pacing ; Cerebrovascular accident / embolic stroke";"Postoperative atrial fibrillation or ventricular arrhythmias ; Sternal wound infection or mediastinitis ; Acute kidney injury (contrast or cardiopulmonary bypass induced) ; Low cardiac output syndrome";"Prosthetic valve degeneration or bioprosthetic failure ; Chronic paravalvular leak ; Infective endocarditis ; Long-term anticoagulation-related bleeding / thromboembolism"
Subcutaneous ICD (S-ICD) Implantation;Interventional Radiology & Cardiology;"Aortic dissection or annular rupture ; Vascular access site laceration or retroperitoneal hemorrhage ; Cardiac tamponade / pericardial effusion ; Complete heart block requiring emergency pacing ; Cerebrovascular accident / embolic stroke";"Postoperative atrial fibrillation or ventricular arrhythmias ; Sternal wound infection or mediastinitis ; Acute kidney injury (contrast or cardiopulmonary bypass induced) ; Low cardiac output syndrome";"Prosthetic valve degeneration or bioprosthetic failure ; Chronic paravalvular leak ; Infective endocarditis ; Long-term anticoagulation-related bleeding / thromboembolism"
Cardiac Resynchronization Therapy Pacemaker (CRT-P) Implantation;Interventional Radiology & Cardiology;"Aortic dissection or annular rupture ; Vascular access site laceration or retroperitoneal hemorrhage ; Cardiac tamponade / pericardial effusion ; Complete heart block requiring emergency pacing ; Cerebrovascular accident / embolic stroke";"Postoperative atrial fibrillation or ventricular arrhythmias ; Sternal wound infection or mediastinitis ; Acute kidney injury (contrast or cardiopulmonary bypass induced) ; Low cardiac output syndrome";"Prosthetic valve degeneration or bioprosthetic failure ; Chronic paravalvular leak ; Infective endocarditis ; Long-term anticoagulation-related bleeding / thromboembolism"
Cardiac Resynchronization Therapy Defibrillator (CRT-D) Implantation;Interventional Radiology & Cardiology;"Aortic dissection or annular rupture ; Vascular access site laceration or retroperitoneal hemorrhage ; Cardiac tamponade / pericardial effusion ; Complete heart block requiring emergency pacing ; Cerebrovascular accident / embolic stroke";"Postoperative atrial fibrillation or ventricular arrhythmias ; Sternal wound infection or mediastinitis ; Acute kidney injury (contrast or cardiopulmonary bypass induced) ; Low cardiac output syndrome";"Prosthetic valve degeneration or bioprosthetic failure ; Chronic paravalvular leak ; Infective endocarditis ; Long-term anticoagulation-related bleeding / thromboembolism"
His Bundle Pacing Implantation;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Left Bundle Branch Area Pacing (LBBAP);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Transcatheter Pulmonary Valve Replacement (TPVR - Melody / Sapien);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Balloon Pulmonary Valvuloplasty;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Balloon Aortic Valvuloplasty;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Percutaneous Peripheral Vascular Angioplasty & Stenting;Interventional Radiology & Cardiology;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Transcatheter Arterial Chemoembolization (TACE);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Transarterial Radioembolization (TARE / Yttrium-90);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Selective Internal Radiation Therapy (SIRT);Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Transjugular Intrahepatic Portosystemic Shunt (TIPS) Insertion;Interventional Radiology & Cardiology;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury) ; Air embolism via open hepatic veins ; Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome ; Bile leak or perihepatic abscess ; Coagulopathy and postoperative bleeding ; Pleural effusion or right lung atelectasis";"Recurrence of primary hepatic tumor ; Biliary stricture or persistent bile leak ; Post-resection portal hypertension"
TIPS Revision / Thrombectomy;Interventional Radiology & Cardiology;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
