Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
Sleeve Resection (Bronchial);Cardiothoracic & Vascular Surgery;"Esophageal or gastric wall perforation (Accidental hole or tear in an organ or tissue); Splenic injury or short gastric vessel hemorrhage (Excessive or unexpected bleeding during the procedure); Vagus nerve inadvertent transection (Temporary or permanent injury to nerves causing numbness or weakness); Injury to Nearby Organs (Accidental damage to the pancreas or colon); Anesthetic Complications (Reaction related to general anesthesia)";"Anastomotic or staple-line leak / peritonitis; Gastroparesis / delayed gastric emptying; Early post-op dumping syndrome (Ear complications); Wound dehiscence or deep space abscess (A collection of pus requiring drainage); Abdominal Abscess (A collection of infected fluid in the belly)";"Chronic dumping syndrome / hypoglycemia; Marginal ulceration or stricture (Narrowing of a passage or tube in the body); Nutritional deficiencies (Vitamin B12, iron, calcium, folate); Reflux or recurrent dysphagia (Healing-related issue); Anemia (Long-term low red blood cell count from poor nutrient absorption)"
Bronchoplasty;Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Pleurodesis (Chemical / Mechanical);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Decortication (Pulmonary / Pleural);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Thoracotomy (Anterolateral / Posterolateral);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Video-Assisted Thoracoscopic Surgery (VATS);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Robotic-Assisted Thoracic Surgery (RATS);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Mediastinoscopy;Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Mediastinotomy (Chamberlain Procedure);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Thymectomy;Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Robotic Thymectomy;Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Transcervical Thymectomy;Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Percutaneous Dilatational Tracheostomy;Cardiothoracic & Vascular Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis); Superior laryngeal nerve injury (Temporary or permanent injury to nerves causing numbness or weakness); Carotid artery or internal jugular vein injury (Artery injury or damage); Pneumothorax (Common post-surgical side effect); Anesthetic Complications (Reaction related to general anesthesia)";"Post-thyroidectomy neck hematoma / acute airway compromise; Transient or permanent hypocalcemia (parathyroid injury); Post-tonsillectomy hemorrhage (Excessive or unexpected bleeding during the procedure); CSF leak (nasal/otologic); Wound Infection (Infection at the neck incision site)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D; Permanent vocal cord paralysis / hoarseness; Keloid / scar hypertrophy; Nasal septum perforation or saddle nose deformity (Accidental hole or tear in an organ or tissue); Hypothyroidism Requiring Lifelong Medication (Ongoing need for thyroid hormone replacement)"
Tracheal Resection and Reconstruction;Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Cricothyroidotomy;Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Chest Tube Insertion (Tube Thoracostomy);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Sympathectomy (Thoracic / Endoscopic);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Pectus Excavatum Repair (Nuss Procedure);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Pectus Excavatum Repair (Ravitch Procedure);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Lung Transplantation (Single);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Lung Transplantation (Double / Bilateral);Cardiothoracic & Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage; Arrhythmia / cardiac conduction alteration; Embolic event (Potential complication during recovery); Contrast Dye Reaction (Allergic or adverse reaction to the imaging dye); Vessel Perforation (Accidental damage to a blood vessel during catheter placement)";"Access site / operative hematoma; Ischemic complication / graft or vessel occlusion; Acute kidney injury (Kidney complications); Bruising at the Catheter Site (Discoloration around the insertion point); Delayed Bleeding (Bleeding that develops after the initial procedure)";"Vascular restenosis / graft failure; Infective endocarditis / prosthetic infection; Chronic ischemia (Long-lasting or persistent symptoms); Contrast-Induced Kidney Injury (Delayed decline in kidney function from the imaging dye); Recurrent Symptoms (Return of chest pain or related symptoms prompting further testing)"
Craniotomy for Brain Tumor Resection;Neurosurgery & Spine Surgery;"Intraoperative parenchymal brain hemorrhage (Excessive or unexpected bleeding during the procedure); Dural tear / cerebrospinal fluid (CSF) leak; Inadvertent nerve root or spinal cord injury (Temporary or permanent injury to nerves causing numbness or weakness); Venous sinus injury or air embolism (Blood clot or air bubble traveling through blood vessels); Anesthetic Complications (Reaction related to general anesthesia)";"Postoperative epidural or intracerebral hematoma (Collection of blood causing swelling); Meningitis or surgical site infection (Bacterial, viral, or fungal infection at the surgical site); Neurological deficit (aphasia, hemiparesis, paraplegia); Cerebral vasospasm or ischemia (Post-operative complication requiring monitoring); Wound Infection (Infection at the skull incision site)";"Chronic CSF leak or pseudomeningocele (Fluid escaping from where tissues were closed or connected); Hardware failure / nonunion / pseudoarthrosis (spine); Chronic neuropathic pain or Failed Back Surgery Syndrome (FBSS); Shunt malfunction or infection (Bacterial, viral, or fungal infection at the surgical site); Recurrence of Tumor (Return of the tumor at or near the original site)"
Craniotomy for Meningioma;Neurosurgery & Spine Surgery;"Intraoperative parenchymal brain hemorrhage (Excessive or unexpected bleeding during the procedure); Dural tear / cerebrospinal fluid (CSF) leak; Inadvertent nerve root or spinal cord injury (Temporary or permanent injury to nerves causing numbness or weakness); Venous sinus injury or air embolism (Blood clot or air bubble traveling through blood vessels); Anesthetic Complications (Reaction related to general anesthesia)";"Postoperative epidural or intracerebral hematoma (Collection of blood causing swelling); Meningitis or surgical site infection (Bacterial, viral, or fungal infection at the surgical site); Neurological deficit (aphasia, hemiparesis, paraplegia); Cerebral vasospasm or ischemia (Post-operative complication requiring monitoring); Wound Infection (Infection at the skull incision site)";"Chronic CSF leak or pseudomeningocele (Fluid escaping from where tissues were closed or connected); Hardware failure / nonunion / pseudoarthrosis (spine); Chronic neuropathic pain or Failed Back Surgery Syndrome (FBSS); Shunt malfunction or infection (Bacterial, viral, or fungal infection at the surgical site); Recurrence of Tumor (Return of the tumor at or near the original site)"
Craniotomy for Glioblastoma;Neurosurgery & Spine Surgery;"Intraoperative parenchymal brain hemorrhage (Excessive or unexpected bleeding during the procedure); Dural tear / cerebrospinal fluid (CSF) leak; Inadvertent nerve root or spinal cord injury (Temporary or permanent injury to nerves causing numbness or weakness); Venous sinus injury or air embolism (Blood clot or air bubble traveling through blood vessels); Anesthetic Complications (Reaction related to general anesthesia)";"Postoperative epidural or intracerebral hematoma (Collection of blood causing swelling); Meningitis or surgical site infection (Bacterial, viral, or fungal infection at the surgical site); Neurological deficit (aphasia, hemiparesis, paraplegia); Cerebral vasospasm or ischemia (Post-operative complication requiring monitoring); Wound Infection (Infection at the skull incision site)";"Chronic CSF leak or pseudomeningocele (Fluid escaping from where tissues were closed or connected); Hardware failure / nonunion / pseudoarthrosis (spine); Chronic neuropathic pain or Failed Back Surgery Syndrome (FBSS); Shunt malfunction or infection (Bacterial, viral, or fungal infection at the surgical site); Recurrence of Tumor (Return of the tumor at or near the original site)"
Craniotomy for Acoustic Neuroma;Neurosurgery & Spine Surgery;"Intraoperative parenchymal brain hemorrhage (Excessive or unexpected bleeding during the procedure); Dural tear / cerebrospinal fluid (CSF) leak; Inadvertent nerve root or spinal cord injury (Temporary or permanent injury to nerves causing numbness or weakness); Venous sinus injury or air embolism (Blood clot or air bubble traveling through blood vessels); Anesthetic Complications (Reaction related to general anesthesia)";"Postoperative epidural or intracerebral hematoma (Collection of blood causing swelling); Meningitis or surgical site infection (Bacterial, viral, or fungal infection at the surgical site); Neurological deficit (aphasia, hemiparesis, paraplegia); Cerebral vasospasm or ischemia (Post-operative complication requiring monitoring); Wound Infection (Infection at the skull incision site)";"Chronic CSF leak or pseudomeningocele (Fluid escaping from where tissues were closed or connected); Hardware failure / nonunion / pseudoarthrosis (spine); Chronic neuropathic pain or Failed Back Surgery Syndrome (FBSS); Shunt malfunction or infection (Bacterial, viral, or fungal infection at the surgical site); Recurrence of Tumor (Return of the tumor at or near the original site)"
Awake Craniotomy;Neurosurgery & Spine Surgery;"Intraoperative parenchymal brain hemorrhage (Excessive or unexpected bleeding during the procedure); Dural tear / cerebrospinal fluid (CSF) leak; Inadvertent nerve root or spinal cord injury (Temporary or permanent injury to nerves causing numbness or weakness); Venous sinus injury or air embolism (Blood clot or air bubble traveling through blood vessels); Anesthetic Complications (Reaction related to general anesthesia)";"Postoperative epidural or intracerebral hematoma (Collection of blood causing swelling); Meningitis or surgical site infection (Bacterial, viral, or fungal infection at the surgical site); Neurological deficit (aphasia, hemiparesis, paraplegia); Cerebral vasospasm or ischemia (Post-operative complication requiring monitoring); Wound Infection (Infection at the skull incision site)";"Chronic CSF leak or pseudomeningocele (Fluid escaping from where tissues were closed or connected); Hardware failure / nonunion / pseudoarthrosis (spine); Chronic neuropathic pain or Failed Back Surgery Syndrome (FBSS); Shunt malfunction or infection (Bacterial, viral, or fungal infection at the surgical site); Recurrence of Tumor (Return of the tumor at or near the original site)"
Stereotactic Biopsy of Brain Lesion;Neurosurgery & Spine Surgery;"Intraoperative parenchymal brain hemorrhage (Excessive or unexpected bleeding during the procedure); Dural tear / cerebrospinal fluid (CSF) leak; Inadvertent nerve root or spinal cord injury (Temporary or permanent injury to nerves causing numbness or weakness); Venous sinus injury or air embolism (Blood clot or air bubble traveling through blood vessels); Anesthetic Complications (Reaction related to general anesthesia)";"Postoperative epidural or intracerebral hematoma (Collection of blood causing swelling); Meningitis or surgical site infection (Bacterial, viral, or fungal infection at the surgical site); Neurological deficit (aphasia, hemiparesis, paraplegia); Cerebral vasospasm or ischemia (Post-operative complication requiring monitoring); Wound Infection (Infection at the skull incision site)";"Chronic CSF leak or pseudomeningocele (Fluid escaping from where tissues were closed or connected); Hardware failure / nonunion / pseudoarthrosis (spine); Chronic neuropathic pain or Failed Back Surgery Syndrome (FBSS); Shunt malfunction or infection (Bacterial, viral, or fungal infection at the surgical site); Recurrence of Tumor (Return of the tumor at or near the original site)"
Decompressive Craniectomy;Neurosurgery & Spine Surgery;"Dural tear / CSF extravasation; Intraoperative neural element stretch or injury (Common post-surgical side effect); Hemorrhage (Excessive or unexpected bleeding during the procedure); Injury to Nearby Brain Tissue (Accidental damage during bone removal); Anesthetic Complications (Reaction related to general anesthesia)";"Postoperative epidural hematoma (Collection of blood causing swelling); Surgical site infection / meningitis; Transient or permanent neurological deficit (Potential complication during recovery); Wound Infection (Infection at the skull incision site); Brain Swelling (Increased pressure inside the skull after surgery)";"Chronic neuropathic pain (Post-operative soreness or discomfort as tissues heal); Hardware instability or nonunion (Common post-surgical side effect); Chronic CSF leak / pseudomeningocele; Sinking Skin Flap Syndrome (The skin over the missing bone sinks inward, affecting brain function); Need for Cranioplasty (A later surgery to replace the removed bone)"
Cranioplasty;Neurosurgery & Spine Surgery;"Dural tear / CSF extravasation; Intraoperative neural element stretch or injury (Common post-surgical side effect); Hemorrhage (Excessive or unexpected bleeding during the procedure); Injury to Nearby Brain Tissue (Accidental damage during bone removal); Anesthetic Complications (Reaction related to general anesthesia)";"Postoperative epidural hematoma (Collection of blood causing swelling); Surgical site infection / meningitis; Transient or permanent neurological deficit (Potential complication during recovery); Wound Infection (Infection at the skull incision site); Brain Swelling (Increased pressure inside the skull after surgery)";"Chronic neuropathic pain (Post-operative soreness or discomfort as tissues heal); Hardware instability or nonunion (Common post-surgical side effect); Chronic CSF leak / pseudomeningocele; Sinking Skin Flap Syndrome (The skin over the missing bone sinks inward, affecting brain function); Need for Cranioplasty (A later surgery to replace the removed bone)"
Endonasal Transsphenoidal Hypophysectomy;Neurosurgery & Spine Surgery;"Dural tear / CSF extravasation; Intraoperative neural element stretch or injury (Common post-surgical side effect); Hemorrhage (Excessive or unexpected bleeding during the procedure); Injury to Nearby Brain Tissue (Accidental damage during bone removal); Anesthetic Complications (Reaction related to general anesthesia)";"Postoperative epidural hematoma (Collection of blood causing swelling); Surgical site infection / meningitis; Transient or permanent neurological deficit (Potential complication during recovery); Wound Infection (Infection at the skull incision site); Brain Swelling (Increased pressure inside the skull after surgery)";"Chronic neuropathic pain (Post-operative soreness or discomfort as tissues heal); Hardware instability or nonunion (Common post-surgical side effect); Chronic CSF leak / pseudomeningocele; Sinking Skin Flap Syndrome (The skin over the missing bone sinks inward, affecting brain function); Need for Cranioplasty (A later surgery to replace the removed bone)"
Endoscopic Endonasal Pituitary Surgery;Neurosurgery & Spine Surgery;"Dural tear / CSF extravasation; Intraoperative neural element stretch or injury (Common post-surgical side effect); Hemorrhage (Excessive or unexpected bleeding during the procedure); Injury to Nearby Brain Tissue (Accidental damage during bone removal); Anesthetic Complications (Reaction related to general anesthesia)";"Postoperative epidural hematoma (Collection of blood causing swelling); Surgical site infection / meningitis; Transient or permanent neurological deficit (Potential complication during recovery); Wound Infection (Infection at the skull incision site); Brain Swelling (Increased pressure inside the skull after surgery)";"Chronic neuropathic pain (Post-operative soreness or discomfort as tissues heal); Hardware instability or nonunion (Common post-surgical side effect); Chronic CSF leak / pseudomeningocele; Sinking Skin Flap Syndrome (The skin over the missing bone sinks inward, affecting brain function); Need for Cranioplasty (A later surgery to replace the removed bone)"
Microvascular Decompression (Trigeminal Neuralgia);Neurosurgery & Spine Surgery;"Arterial rupture or dissection (Post-operative complication requiring monitoring); Distal atheroembolization (trash foot / blue toe syndrome); Vascular access site disruption or severe hematoma (Collection of blood causing swelling); Coronary Artery Perforation (Accidental hole created in the artery wall during stent placement); Arrhythmia (Irregular heartbeat occurring during the procedure)";"Graft thrombosis or acute limb ischemia (Blood clot formation in a vein or artery); Contrast-induced nephropathy (Potential complication during recovery); Groin pseudoaneurysm or seroma (Post-operative complication requiring monitoring); Cranial nerve injury (for carotid procedures); Stent Thrombosis (A blood clot forming within the newly placed stent)";"Graft infection or aortoenteric fistula (Bacterial, viral, or fungal infection at the surgical site); Restenosis or neointimal hyperplasia (Abnormal narrowing of a blood vessel or valve); Endoleak (Type I-IV for EVAR/TEVAR); Chronic limb ischemia recurrence (Long-lasting or persistent symptoms); In-Stent Restenosis (The treated artery narrows again over time)"
Microvascular Decompression (Hemifacial Spasm);Neurosurgery & Spine Surgery;"Arterial rupture or dissection (Post-operative complication requiring monitoring); Distal atheroembolization (trash foot / blue toe syndrome)";"Graft thrombosis or acute limb ischemia (Blood clot formation in a vein or artery); Contrast-induced nephropathy (Potential complication during recovery); Groin pseudoaneurysm or seroma (Post-operative complication requiring monitoring); Cranial nerve injury (for carotid procedures); Stent Thrombosis (A blood clot forming within the newly placed stent)";"Graft infection or aortoenteric fistula (Bacterial, viral, or fungal infection at the surgical site); Restenosis or neointimal hyperplasia (Abnormal narrowing of a blood vessel or valve); Endoleak (Type I-IV for EVAR/TEVAR); Chronic limb ischemia recurrence (Long-lasting or persistent symptoms); In-Stent Restenosis (The treated artery narrows again over time)"
Cerebral Aneurysm Clipping;Neurosurgery & Spine Surgery;"Arterial rupture or dissection (Post-operative complication requiring monitoring); Distal atheroembolization (trash foot / blue toe syndrome); Vascular access site disruption or severe hematoma (Collection of blood causing swelling); Coronary Artery Perforation (Accidental hole created in the artery wall during stent placement); Arrhythmia (Irregular heartbeat occurring during the procedure)";"Graft thrombosis or acute limb ischemia (Blood clot formation in a vein or artery); Contrast-induced nephropathy (Potential complication during recovery); Groin pseudoaneurysm or seroma (Post-operative complication requiring monitoring); Cranial nerve injury (for carotid procedures); Stent Thrombosis (A blood clot forming within the newly placed stent)";"Graft infection or aortoenteric fistula (Bacterial, viral, or fungal infection at the surgical site); Restenosis or neointimal hyperplasia (Abnormal narrowing of a blood vessel or valve); Endoleak (Type I-IV for EVAR/TEVAR); Chronic limb ischemia recurrence (Long-lasting or persistent symptoms); In-Stent Restenosis (The treated artery narrows again over time)"
